value;datetime
135.927;2015-01-01T00:00:00+01:00
174.235;2015-01-01T01:00:00+01:00
202.542;2015-01-01T02:00:00+01:00
216.803;2015-01-01T03:00:00+01:00
184.877;2015-01-01T04:00:00+01:00
170.161;2015-01-01T05:00:00+01:00
178.808;2015-01-01T06:00:00+01:00
167.82;2015-01-01T07:00:00+01:00
96.919;2015-01-01T08:00:00+01:00
72.27;2015-01-01T09:00:00+01:00
95.369;2015-01-01T10:00:00+01:00
223.559;2015-01-01T11:00:00+01:00
463.664;2015-01-01T12:00:00+01:00
805.379;2015-01-01T13:00:00+01:00
932.842;2015-01-01T14:00:00+01:00
941.017;2015-01-01T15:00:00+01:00
936.667;2015-01-01T16:00:00+01:00
858.528;2015-01-01T17:00:00+01:00
719.542;2015-01-01T18:00:00+01:00
649.144;2015-01-01T19:00:00+01:00
602.491;2015-01-01T20:00:00+01:00
620.91;2015-01-01T21:00:00+01:00
588.799;2015-01-01T22:00:00+01:00
609.436;2015-01-01T23:00:00+01:00
587.507;2015-01-02T00:00:00+01:00
478.067;2015-01-02T01:00:00+01:00
423.899;2015-01-02T02:00:00+01:00
384.386;2015-01-02T03:00:00+01:00
413.272;2015-01-02T04:00:00+01:00
429.948;2015-01-02T05:00:00+01:00
467.36;2015-01-02T06:00:00+01:00
496.999;2015-01-02T07:00:00+01:00
505.678;2015-01-02T08:00:00+01:00
498.33;2015-01-02T09:00:00+01:00
437.985;2015-01-02T10:00:00+01:00
457.337;2015-01-02T11:00:00+01:00
382.765;2015-01-02T12:00:00+01:00
421.958;2015-01-02T13:00:00+01:00
397.225;2015-01-02T14:00:00+01:00
408.907;2015-01-02T15:00:00+01:00
426.639;2015-01-02T16:00:00+01:00
395.334;2015-01-02T17:00:00+01:00
359.87;2015-01-02T18:00:00+01:00
387.444;2015-01-02T19:00:00+01:00
343.428;2015-01-02T20:00:00+01:00
324.439;2015-01-02T21:00:00+01:00
399.729;2015-01-02T22:00:00+01:00
424.329;2015-01-02T23:00:00+01:00
402.27;2015-01-03T00:00:00+01:00
462.904;2015-01-03T01:00:00+01:00
483.792;2015-01-03T02:00:00+01:00
477.234;2015-01-03T03:00:00+01:00
415.594;2015-01-03T04:00:00+01:00
377.282;2015-01-03T05:00:00+01:00
367.839;2015-01-03T06:00:00+01:00
384.346;2015-01-03T07:00:00+01:00
383.214;2015-01-03T08:00:00+01:00
430.276;2015-01-03T09:00:00+01:00
403.335;2015-01-03T10:00:00+01:00
480.121;2015-01-03T11:00:00+01:00
506.632;2015-01-03T12:00:00+01:00
512.45;2015-01-03T13:00:00+01:00
484.795;2015-01-03T14:00:00+01:00
449.297;2015-01-03T15:00:00+01:00
383.493;2015-01-03T16:00:00+01:00
296.638;2015-01-03T17:00:00+01:00
265.062;2015-01-03T18:00:00+01:00
261.1;2015-01-03T19:00:00+01:00
250.296;2015-01-03T20:00:00+01:00
232.176;2015-01-03T21:00:00+01:00
215.761;2015-01-03T22:00:00+01:00
217.645;2015-01-03T23:00:00+01:00
212.053;2015-01-04T00:00:00+01:00
208.511;2015-01-04T01:00:00+01:00
182.893;2015-01-04T02:00:00+01:00
148.884;2015-01-04T03:00:00+01:00
129.139;2015-01-04T04:00:00+01:00
134.579;2015-01-04T05:00:00+01:00
108.408;2015-01-04T06:00:00+01:00
60.47;2015-01-04T07:00:00+01:00
20.615;2015-01-04T08:00:00+01:00
18.162;2015-01-04T09:00:00+01:00
9.858;2015-01-04T10:00:00+01:00
4.527;2015-01-04T11:00:00+01:00
1.482;2015-01-04T12:00:00+01:00
2.633;2015-01-04T13:00:00+01:00
8.043;2015-01-04T14:00:00+01:00
10.33;2015-01-04T15:00:00+01:00
15.169;2015-01-04T16:00:00+01:00
6.394;2015-01-04T17:00:00+01:00
4.253;2015-01-04T18:00:00+01:00
5.356;2015-01-04T19:00:00+01:00
4.44;2015-01-04T20:00:00+01:00
6.325;2015-01-04T21:00:00+01:00
10.66;2015-01-04T22:00:00+01:00
13.253;2015-01-04T23:00:00+01:00
15.543;2015-01-05T00:00:00+01:00
14.874;2015-01-05T01:00:00+01:00
16.155;2015-01-05T02:00:00+01:00
20.306;2015-01-05T03:00:00+01:00
20.272;2015-01-05T04:00:00+01:00
19.089;2015-01-05T05:00:00+01:00
13.427;2015-01-05T06:00:00+01:00
16.876;2015-01-05T07:00:00+01:00
18.677;2015-01-05T08:00:00+01:00
12.727;2015-01-05T09:00:00+01:00
6.625;2015-01-05T10:00:00+01:00
6.692;2015-01-05T11:00:00+01:00
9.105;2015-01-05T12:00:00+01:00
10.47;2015-01-05T13:00:00+01:00
19.738;2015-01-05T14:00:00+01:00
9.839;2015-01-05T15:00:00+01:00
8.419;2015-01-05T16:00:00+01:00
7.233;2015-01-05T17:00:00+01:00
16.743;2015-01-05T18:00:00+01:00
8.935;2015-01-05T19:00:00+01:00
8.596;2015-01-05T20:00:00+01:00
7.301;2015-01-05T21:00:00+01:00
4.842;2015-01-05T22:00:00+01:00
3.144;2015-01-05T23:00:00+01:00
8.353;2015-01-06T00:00:00+01:00
5.267;2015-01-06T01:00:00+01:00
18.579;2015-01-06T02:00:00+01:00
31.632;2015-01-06T03:00:00+01:00
20.22;2015-01-06T04:00:00+01:00
22.817;2015-01-06T05:00:00+01:00
18.82;2015-01-06T06:00:00+01:00
12.192;2015-01-06T07:00:00+01:00
26.792;2015-01-06T08:00:00+01:00
22.337;2015-01-06T09:00:00+01:00
20.419;2015-01-06T10:00:00+01:00
27.908;2015-01-06T11:00:00+01:00
30.354;2015-01-06T12:00:00+01:00
44.413;2015-01-06T13:00:00+01:00
61.979;2015-01-06T14:00:00+01:00
48.159;2015-01-06T15:00:00+01:00
47.957;2015-01-06T16:00:00+01:00
43.786;2015-01-06T17:00:00+01:00
47.557;2015-01-06T18:00:00+01:00
49.718;2015-01-06T19:00:00+01:00
53.01;2015-01-06T20:00:00+01:00
60.551;2015-01-06T21:00:00+01:00
60.106;2015-01-06T22:00:00+01:00
42.34;2015-01-06T23:00:00+01:00
48.009;2015-01-07T00:00:00+01:00
51.693;2015-01-07T01:00:00+01:00
